geography,year,category,households,value
West Melbourne (Residential),2041,Structural Private Dwellings,Not applicable,7534
West Melbourne (Residential),2041,Household type,Other family,107
West Melbourne (Residential),2042,Household type,Couple family with children,1010
West Melbourne (Residential),2042,Household type,Couple family without children,2947
West Melbourne (Residential),2042,Household type,Group household,1327
West Melbourne (Residential),2043,Household type,Couple family with children,1020
West Melbourne (Residential),2043,Household type,Couple family without children,2930
West Melbourne (Residential),2043,Household type,Group household,1321
City of Melbourne,2023,Household type,Lone person,34969
City of Melbourne,2023,Household size,Not applicable,20
City of Melbourne,2023,Household type,One-parent family,2834
City of Melbourne,2023,Household type,Other family,2834
City of Melbourne,2024,Household type,Couple family with children,9504
City of Melbourne,2024,Household type,Group household,20245
City of Melbourne,2024,Structural Private Dwellings,Not applicable,111631
City of Melbourne,2025,Household type,Lone person,37495
City of Melbourne,2025,Structural Private Dwellings,Not applicable,111631
City of Melbourne,2025,Household size,Not applicable,21
City of Melbourne,2026,Household type,Couple family without children,33273
City of Melbourne,2026,Structural Private Dwellings,Not applicable,111964
City of Melbourne,2027,Household type,Group household,20918
City of Melbourne,2027,Structural Private Dwellings,Not applicable,113467
City of Melbourne,2027,Household type,One-parent family,2982
City of Melbourne,2027,Household type,Other family,2852
City of Melbourne,2028,Household type,Lone person,38332
City of Melbourne,2028,Structural Private Dwellings,Not applicable,114806
City of Melbourne,2028,Household size,Not applicable,24
City of Melbourne,2028,Household type,Other family,2820
City of Melbourne,2029,Structural Private Dwellings,Not applicable,115892
City of Melbourne,2029,Household type,Other family,2785
City of Melbourne,2030,Household size,Not applicable,25
City of Melbourne,2031,Household type,Couple family without children,35943
City of Melbourne,2032,Household type,Couple family without children,36191
City of Melbourne,2032,Household size,Not applicable,26
City of Melbourne,2032,Household type,One-parent family,3043
City of Melbourne,2032,Household type,Other family,2674
City of Melbourne,2033,Structural Private Dwellings,Not applicable,118650
City of Melbourne,2034,Household type,Couple family with children,11720
City of Melbourne,2034,Household type,Lone person,39260
City of Melbourne,2034,Structural Private Dwellings,Not applicable,121227
City of Melbourne,2034,Household size,Not applicable,26
City of Melbourne,2034,Household type,Other family,2643
City of Melbourne,2035,Household type,One-parent family,3221
City of Melbourne,2036,Household type,Couple family with children,12512
City of Melbourne,2036,Household type,Group household,23200
City of Melbourne,2036,Household type,Lone person,40624
City of Melbourne,2036,Household type,One-parent family,3326
City of Melbourne,2037,Household type,Couple family without children,39305
City of Melbourne,2038,Household type,Couple family with children,13335
City of Melbourne,2038,Household type,Couple family without children,39871
City of Melbourne,2038,Household type,Group household,23859
City of Melbourne,2038,Household type,Lone person,41992
City of Melbourne,2038,Structural Private Dwellings,Not applicable,130567
City of Melbourne,2039,Household type,Couple family with children,13735
City of Melbourne,2039,Household type,Group household,24166
City of Melbourne,2039,Household type,One-parent family,3627
City of Melbourne,2039,Household type,Other family,2773
City of Melbourne,2040,Household type,Group household,24461
City of Melbourne,2040,Structural Private Dwellings,Not applicable,134719
City of Melbourne,2040,Household size,Not applicable,26
City of Melbourne,2040,Household type,One-parent family,3723
City of Melbourne,2041,Household type,Couple family with children,14559
City of Melbourne,2041,Household type,Group household,24649
City of Melbourne,2041,Household size,Not applicable,26
City of Melbourne,2041,Household type,One-parent family,3849
City of Melbourne,2042,Household type,Couple family with children,14983
City of Melbourne,2042,Household type,Couple family without children,41633
City of Melbourne,2042,Household type,Group household,24826
City of Melbourne,2042,Household type,Lone person,44539
City of Melbourne,2042,Structural Private Dwellings,Not applicable,138643
City of Melbourne,2042,Household type,One-parent family,3972
City of Melbourne,2043,Household type,Group household,24991
City of Melbourne,2043,Structural Private Dwellings,Not applicable,140507
City of Melbourne,2043,Household type,One-parent family,4094
City of Melbourne,2023,Household type,Total households,12640
City of Melbourne,2029,Household type,Total households,36364
City of Melbourne,2036,Household type,Total households,11803
City of Melbourne,2038,Household type,Total households,19574
City of Melbourne,2038,Household type,Total households,40972
City of Melbourne,2027,Household type,Total households,9527
City of Melbourne,2034,Household type,Total households,6089
City of Melbourne,2031,Household type,Total households,2725
City of Melbourne,2024,Household type,Total households,13607
City of Melbourne,2026,Household type,Total households,5680
City of Melbourne,2028,Household type,Total households,2983
City of Melbourne,2028,Household type,Total households,10674
City of Melbourne,2034,Household type,Total households,18334
City of Melbourne,2036,Household type,Total households,6771
City of Melbourne,2030,Household type,Total households,35
City of Melbourne,2035,Household type,Total households,0
City of Melbourne,2033,Household type,Total households,6025
City of Melbourne,2041,Household type,Total households,0
City of Melbourne,2031,Household type,Total households,36866
City of Melbourne,2027,Household type,Total households,0
City of Melbourne,2039,Household type,Total households,0
City of Melbourne,2041,Household type,Total households,42965
City of Melbourne,2041,Household type,Total households,14096
City of Melbourne,2042,Household type,Total households,3392
City of Melbourne,2033,Household type,Total households,10258
City of Melbourne,2039,Household type,Total households,13191
City of Melbourne,2032,Household type,Total households,51
City of Melbourne,2023,Household type,Total households,0
City of Melbourne,2039,Household type,Total households,12091
City of Melbourne,2028,Household type,Total households,3350
City of Melbourne,2035,Household type,Total households,1481
City of Melbourne,2029,Household type,Total households,10736
City of Melbourne,2026,Household type,Total households,5642
City of Melbourne,2041,Household type,Total households,20392
City of Melbourne,2038,Household type,Total households,6931
City of Melbourne,2027,Household type,Total households,16851
City of Melbourne,2026,Household type,Total households,35305
City of Melbourne,2031,Household type,Total households,0
City of Melbourne,2028,Household type,Total households,5699
City of Melbourne,2033,Household type,Total households,3401
City of Melbourne,2042,Household type,Total households,2787
City of Melbourne,2035,Household type,Total households,3395
City of Melbourne,2025,Household type,Total households,5557
City of Melbourne,2038,Household type,Total households,0
City of Melbourne,2043,Household type,Total households,0
City of Melbourne,2040,Household type,Total households,1477
City of Melbourne,2033,Household type,Total households,10931
City of Melbourne,2040,Household type,Total households,2978
City of Melbourne,2032,Household type,Total households,10169
City of Melbourne,2031,Household type,Total households,14744
City of Melbourne,2038,Household type,Total households,2978
City of Melbourne,2034,Household type,Total households,14983
City of Melbourne,2024,Household type,Total households,9182
City of Melbourne,2040,Household type,Total households,483
City of Melbourne,2033,Household type,Total households,0
City of Melbourne,2024,Household type,Total households,3214
City of Melbourne,2023,Household type,Total households,2943
City of Melbourne,2031,Household type,Total households,45
City of Melbourne,2029,Household type,Total households,2982
City of Melbourne,2032,Household type,Total households,2982
City of Melbourne,2028,Household type,Total households,2686
City of Melbourne,2031,Household type,Total households,10055
City of Melbourne,2025,Household type,Total households,2969
City of Melbourne,2042,Household type,Total households,2977
City of Melbourne,2030,Household type,Total households,2708
City of Melbourne,2030,Household type,Total households,1485
City of Melbourne,2029,Household type,Total households,5835
City of Melbourne,2032,Household type,Total households,3402
City of Melbourne,2028,Household type,Total households,5776
City of Melbourne,2035,Household type,Total households,11330
City of Melbourne,2041,Household type,Total households,583
City of Melbourne,2031,Household type,Total households,5947
City of Melbourne,2036,Household type,Total households,11522
City of Melbourne,2023,Household type,Total households,9445
City of Melbourne,2025,Household type,Total households,34914
City of Melbourne,2030,Household type,Total households,5884
City of Melbourne,2031,Household type,Total households,10866
City of Melbourne,2037,Household type,Total households,2979
City of Melbourne,2037,Household type,Total households,1479
City of Melbourne,2040,Household type,Total households,2790
City of Melbourne,2041,Household type,Total households,7383
City of Melbourne,2023,Household type,Total households,1328
City of Melbourne,2029,Household type,Total households,27
City of Melbourne,2039,Household type,Total households,7126
City of Melbourne,2038,Household type,Total households,2794
City of Melbourne,2029,Household type,Total households,5736
City of Melbourne,2027,Household type,Total households,10631
City of Melbourne,2043,Household type,Total households,14883
City of Melbourne,2027,Household type,Total households,5736
City of Melbourne,2027,Household type,Total households,2983
City of Melbourne,2042,Household type,Total households,133082
City of Melbourne,2037,Household type,Total households,123243
City of Melbourne,2025,Household type,Total households,105813
City of Melbourne,2031,Household type,Total households,112823
City of Melbourne,2036,Household type,Total households,121051
City of Melbourne,2035,Household type,Total households,118758
